"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_puerperio","internacoes_motivo_intercorrencia_gravidez","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_aborto_legal","internacoes_parto_acompanhante"
434,261160,2020,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3151,157,2134,101,759,2925,211,7,8,0,0,78,0,1135
434,261160,2021,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2996,69,2133,91,703,2617,371,4,4,0,0,53,1,5
434,261160,2022,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",6639,194,4264,143,2038,6146,467,22,4,0,0,77,4,484
434,261160,2023,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",6368,166,4112,157,1933,5812,526,28,2,0,0,59,6,888
671,261160,2018,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2832,249,2508,25,50,2814,0,17,1,0,0,247,0,556
671,261160,2019,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2585,189,2331,16,49,2560,0,24,1,0,0,181,0,830
671,261160,2020,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2858,270,2571,5,12,2848,0,10,0,0,0,246,0,2543
671,261160,2021,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3122,277,2643,182,20,3097,0,25,0,0,1,265,0,2580
671,261160,2022,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2875,273,2228,348,29,2831,0,43,1,0,0,250,0,2079
671,261160,2023,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2499,250,2135,99,15,2488,0,11,0,0,0,243,0,1875
