"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_gravidez","internacoes_motivo_intercorrencia_puerperio","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_parto_acompanhante","internacoes_aborto_legal"
434,261160,2020,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3160,157,2142,1325,104,2924,211,17,8,0,1,95,0,0
434,261160,2021,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3017,69,2147,1381,94,2617,371,25,4,0,0,71,0,0
434,261160,2022,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",6647,194,4268,4076,143,6144,467,32,4,0,1,97,0,0
434,261160,2023,"50_mais","misto","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",6376,166,4122,3816,157,5812,525,37,2,0,0,76,0,1
671,261160,2018,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2834,249,2510,656,25,2813,0,20,1,0,0,247,0,0
671,261160,2019,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2581,189,2327,612,17,2557,0,24,0,0,0,183,0,0
671,261160,2020,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2860,270,2573,588,6,2847,0,13,0,0,0,247,0,0
671,261160,2021,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3124,277,2645,742,184,3097,0,27,0,0,1,268,0,0
671,261160,2022,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2884,275,2238,865,350,2830,0,53,1,0,0,253,0,0
671,261160,2023,"50_mais","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2502,250,2138,686,100,2488,0,14,0,0,0,245,0,0
701,261160,2018,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2930,402,2451,166,30,2924,0,5,1,0,0,365,0,0
701,261160,2019,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3054,409,2560,181,42,3044,0,10,0,0,24,361,0,0
701,261160,2020,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3756,387,3255,237,38,3736,0,20,0,0,80,302,0,0
701,261160,2021,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3535,381,3008,269,37,3465,0,70,0,0,57,325,0,0
701,261160,2022,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3583,382,3013,302,32,3475,26,82,0,0,61,361,0,0
701,261160,2023,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3522,267,3120,285,47,3448,19,55,0,0,57,257,0,0
1120,261160,2018,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2019,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2020,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2021,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2022,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2023,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,280030,2018,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",11645,767,10674,459,143,11613,26,6,0,0,0,759,0,0
2232,280030,2019,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",12162,920,11048,476,153,12138,21,2,1,0,0,898,0,0
2232,280030,2020,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",10980,560,10208,627,132,10930,38,10,2,0,0,542,0,0
2232,280030,2021,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",10942,684,10084,643,85,10897,31,9,5,0,0,656,0,0
2232,280030,2022,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",9379,675,8522,540,81,9336,29,12,2,0,0,654,0,0
2232,280030,2023,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",6385,502,5742,324,81,6364,13,4,4,0,0,465,0,0
2593,280030,2018,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2019,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2020,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2021,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2022,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2023,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
3794,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5742,858,4316,1275,84,5679,0,60,3,0,277,514,0,0
3794,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4384,876,2890,800,66,4356,0,28,0,0,305,510,0,0
3794,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4144,876,2744,760,51,4110,0,29,5,0,390,418,0,0
3794,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4126,842,2692,796,48,4111,0,15,0,0,432,339,0,0
3794,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4047,759,2695,805,74,4010,1,35,1,0,357,370,0,0
3794,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3469,703,2220,749,70,3442,1,26,0,0,350,303,0,0
3840,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6018,672,5043,950,87,5974,4,38,2,0,231,424,0,0
3840,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6715,850,5552,1031,95,6661,7,44,1,2,362,470,0,0
3840,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",7090,831,5884,1357,104,7049,10,28,3,0,409,400,0,0
3840,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6570,731,5282,1383,97,6398,22,148,2,0,369,328,0,5
3840,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5796,674,4448,1576,114,5575,74,147,0,0,354,336,0,2
3840,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5650,711,4332,1349,88,5515,77,58,0,0,395,304,0,0
