"cnes","codmunocor","ano","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","obitos_maternos_totais","obitos_maternos_diretos","obitos_maternos_aborto","obitos_maternos_hipertensao","obitos_maternos_hemorragia","obitos_maternos_infec_puerperal"
701,261160,2022,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
701,261160,2023,"publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
1120,261160,2018,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,0,0,0,0,0
1120,261160,2019,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0
1120,261160,2020,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3,3,0,0,0,0
1120,261160,2021,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,0,0,0,0,0
1120,261160,2022,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2,0,0,0,0,0
1120,261160,2023,"privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",1,0,0,0,0,0
2232,280030,2018,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",4,4,0,2,0,0
2232,280030,2019,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",2,2,0,1,0,1
2232,280030,2020,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",10,7,0,1,1,1
2232,280030,2021,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",11,5,0,2,1,0
2232,280030,2022,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",6,5,0,1,1,1
2232,280030,2023,"misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",4,3,0,1,1,0
2593,280030,2018,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0
2593,280030,2019,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0
2593,280030,2020,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",2,2,0,0,1,0
2593,280030,2021,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0
2593,280030,2022,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0
2593,280030,2023,"privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0
3794,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3794,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3794,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,1,0,0
3794,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
